id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
SENIOR_CORE_3746	calm(…)down	n. （使）平静下来；（使）镇定下来	/calm(…)down/	/calm(…)down/			
SENIOR_CORE_4310	Camelot Park	n. 卡默洛特公园（位于英国）	/Camelot Park/	/Camelot Park/			
SENIOR_CORE_5629	can't help doing sth.	n. 禁不住要做某事	/can't help doing sth./	/can't help doing sth./			
SENIOR_CORE_5304	cater for sb	n. 为某人提供，迎合某人的需要	/cater for sb/	/cater for sb/			
SENIOR_CORE_5305	cater for sth	n. 迎合，考虑到	/cater for sth/	/cater for sth/			
SENIOR_CORE_3903	CatherineⅡ	n. 叶卡捷琳娜二世（俄国女皇）	/'kæθrɪn/	/'kæθərin/			
SENIOR_CORE_3822	change one’s mind	n. 改变主意	/change one’s mind/	/change one’s mind/			
SENIOR_CORE_4589	Charles Keeling	n. 查尔斯•基林	/Charles Keeling/	/Charles Keeling/			
SENIOR_CORE_6003	cliché	n. 陈词滥调	/cliché/	/cliché/			
SENIOR_CORE_5459	come to do something	n. 开始(认识、理解)	/come to do something/	/come to do something/			
SENIOR_CORE_5484	come ture	n. (愿望、梦想等)实现	/come ture/	/come ture/			
SENIOR_CORE_4297	Darlene Coulon	n. 达琳•库隆	/Darlene Coulon/	/Darlene Coulon/			
SENIOR_CORE_5465	dead (right)	adv. 完全地，绝对地	/dead (right)/	/dead (right)/			
SENIOR_CORE_5098	disonest	adj. 不诚实的	/disonest/	/disonest/			
SENIOR_CORE_4362	divide…into	n. 把……分成	/divide…into/	/divide…into/			
SENIOR_CORE_5260	do everything in one’s power to	n. 竭尽全力去做某事	/do everything in one’s power to/	/do everything in one’s power to/			
SENIOR_CORE_6230	drive sb.mad	n. 使……发疯	/drive sb.mad/	/drive sb.mad/			
SENIOR_CORE_5060	d’Incaville	n. 汤执中（法）	/d’Incaville/	/d’Incaville/			
SENIOR_CORE_4093	earn one’s living	n. 谋生	/earn one’s living/	/earn one’s living/			
SENIOR_CORE_6104	ex-gangster	n. 有前科的歹徒，强盗	/ex-gangster/	/ex-gangster/			
SENIOR_CORE_4336	expose…to	n. 使显露；暴露	/expose…to/	/expose…to/			
SENIOR_CORE_5065	Father Farges	n. 法尔热神父（法）	/Father Farges/	/Father Farges/			
SENIOR_CORE_4259	feel content with	n. 对……满足	/feel content with/	/feel content with/			
SENIOR_CORE_5346	for one’s own sake	n. 为了……的缘故	/for one’s own sake/	/for one’s own sake/			
SENIOR_CORE_5130	Frank Worsley	n. 弗兰克.沃斯利	/Frank Worsley/	/Frank Worsley/			
SENIOR_CORE_3954	from…on	n. 从……时起	/from…on/	/from…on/			
SENIOR_CORE_5052	funnelweb spider	n. 漏斗网蜘蛛	/funnelweb spider/	/funnelweb spider/			
SENIOR_CORE_4594	George Hambley	n. 乔治•汗布利	/George Hambley/	/George Hambley/			
SENIOR_CORE_5974	get one's mind off	n. 转移某人的注意力，忘掉	/get one's mind off/	/get one's mind off/			
SENIOR_CORE_4685	Gladys Claffern	n. 格拉迪斯•克拉芬	/Gladys Claffern/	/Gladys Claffern/			
SENIOR_CORE_5413	go on circuit	n. 巡回	/go on circuit/	/go on circuit/			
SENIOR_CORE_4212	Gombe National Park	n. 贡贝国家公园(位于坦桑尼亚)	/Gombe National Park/	/Gombe National Park/			
SENIOR_CORE_5325	greengrocer’s	n. 蔬菜水果商店	/greengrocer’s/	/greengrocer’s/			
SENIOR_CORE_4498	Guggenheim  Museum	n. 古根海姆博物馆	/Guggenheim  Museum/	/Guggenheim  Museum/			
SENIOR_CORE_4961	Guiness Book of World Records	n. 《吉尼斯世界纪录大全》	/Guiness Book of World Records/	/Guiness Book of World Records/			
SENIOR_CORE_5724	hang on a second	n. 等一下	/hang on a second/	/hang on a second/			
SENIOR_CORE_3914	Hans Braun	n. 汉斯•布朗（男名）	/Hans Braun/	/Hans Braun/			
SENIOR_CORE_4716	Help (…) out	n. 帮助（某人）摆脱困境或危难	/Help (…) out/	/Help (…) out/			
SENIOR_CORE_4065	hold one’s breath	n. 屏息；屏气	/hold one’s breath/	/hold one’s breath/			
SENIOR_CORE_5132	Hubert Hudson	n. 休伯特.哈德逊	/Hubert Hudson/	/Hubert Hudson/			
SENIOR_CORE_4150	in one’s turn	n. 轮到某人；接着	/in one’s turn/	/in one’s turn/			
SENIOR_CORE_4861	in poor condition	n. 状况很坏；情况很坏	/in poor condition/	/in poor condition/			
SENIOR_CORE_4911	in terms of…	n. 就……来说；从……角度	/in terms of…/	/in terms of…/			
SENIOR_CORE_6196	interteam	adj. 团队间的	/interteam/	/interteam/			
SENIOR_CORE_5324	Jaez Wilson	n. 杰贝兹.威尔逊	/Jaez Wilson/	/Jaez Wilson/			
SENIOR_CORE_4887	James Dyson	n. 詹姆斯•戴森（英国发明家）	/James Dyson/	/James Dyson/			
SENIOR_CORE_3912	Jan Hasek	n. 简•哈兹克（男名）	/Jan Hasek/	/Jan Hasek/			
