id	word	definition_cn	ecdict_translation	ecdict_phonetic
GRE_4591	callisthenics	n. 柔软体操, 运动	n. 健美操, 健身操	.kælis'θeniks
GRE_2618	calotte	n. 半球帽, 头盖帽, 半球状的东西	n. 无边便帽, 帽形结构 / [医] 小帽, 纤毛帽, 颅顶	kә'lɒt
GRE_8427	canny	adj. 精明仔细的	a. 精明的, 谨慎的, 节约的	'kæni
GRE_3771	canon	n. 教会法教规, 教规, (基督教的)正典圣经(简称正经), 一个作家的真作日本佳能公司	n. 教会法规, 圣典, 准则, 标准, 教士 / [医] 规范, [加农]炮	'kænәn
GRE_623	canonical	adj. 规范的	a. 依教规的, 被认为圣典的, 权威的, 典型的 / [建] 正则的	kә'nɔnikәl
GRE_4787	canzonet	n. 抒情而轻快的歌曲, 小调	n. 小坎佐尼, 小曲	.kænzә'net
GRE_7910	captivating	adj. 吸引人的	a. 迷人的, 有魅力的	'kæptiveitiŋ
GRE_8762	cardiologist	n. 心脏病专家	n. 心脏病学家 / [医] 心[脏]病学家	
GRE_2661	caribou	n. 北美产驯鹿(=Rangifer)	n. 北美驯鹿	'kæribu:
GRE_1387	carnivorous	adj. 食肉类的	a. 食肉的 / [医] 食肉的	kɑ:'nivәrәs
GRE_6240	carouse	v. 狂欢作乐	n. 喧闹的酒会或宴会 / vi. 痛饮, 畅饮	kә'rauz
GRE_6489	castigate	v. 严惩	vt. 惩罚, 苛评, 修订	'kæstigeit
GRE_7563	catalyze	v. 促使； 激励	vt. 催化, 促进, 刺激 / [医] 催化	'kætәlaiz
GRE_3809	catatonic	n. 紧张性精神症患者	a. 紧张症的 / n. 紧张症患者	,kætә'tɔnik
GRE_2283	caucus	n. (政党的)领导人秘密会议, 核心小组会议	n. 领导人会议, 核心会议 / vi. 开核心会议	'kɒ:kәs
GRE_9543	caulk	v. 填塞使不漏水	vt. 填...以防漏	kɒ:k
GRE_9861	cautionary	adj. 劝人谨慎的， 警戒的	a. 警告的	'kɒ:ʃәnәri
GRE_3139	cavalcade	n. 队伍	n. 行列, 骑马行列, 一系列	.kævәl'keid
GRE_2062	celebrated	adj. 著名的	a. 驰名的, 有名的	'selibreitid
GRE_1479	celestial	adj. 天上的	a. 天的, 天国的, 天空的 / [法] 天的, 天空的, 天国的	si'lestjәl
GRE_4667	censorship	n. 审查机构, 审查制度	n. 检查制度 / [医] 督察, 监察	'sensәʃip
GRE_8755	certitude	n. 确定无疑	n. 确实性, 确信	'sә:titju:d
GRE_857	cetacean	adj. 鲸类的, 鲸的	a. 鲸目的, 鲸鱼的 / n. 鲸目动物, 鲸鱼	si'teiʃjәn
GRE_2707	chameleon	n. 变色龙	n. 美洲变色蜥蜴, 善变的人 / [医] 避役属(蜴蜥之一属)	kә'mi:liәn
GRE_4808	chandelier	n. 树枝形的装饰灯	n. 枝形吊灯	,ʃændi'liә
GRE_9966	chantey	n. 船歌	n. 水手的劳动号子(或歌)	'ʃænti
GRE_2833	charisma	n. 超凡魅力, 感召力, 教皇般的指导力	n. 非凡的领导力, 神秘的个人魅力, 神授的能力	kә'rizmә
GRE_7568	charlatan	n. 江湖郎中， 骗子	n. 庸医 / [医] 庸医, 江湖医	'ʃɑ:lәtәn
GRE_7197	charter	v. 租, 包(船、车等)	n. 特许状, 执照, 宪章 / vt. 特许, 发给特许执照	'tʃɑ:tә
GRE_8089	checkered	adj. 多变的	a. 盛衰无常的, 多波折的, 有格子花的, 有...交错着的, 变化多端的 / [机] 网纹板[钢板]	'tʃekәd
GRE_2338	cheetah	n. [动]印度豹（一种似豹的动物, 产于南亚及非洲）	n. 猎豹	'tʃi:tә
GRE_2373	chevron	n. [军](军人佩戴以示军衔和军兵种的)v形臂章	n. V形袖章, 锯齿形花饰 / [计] 人字形	'ʃevrәn
GRE_2312	chipmunk	n. [动] 花栗鼠	n. 金花鼠	'tʃipmʌŋk
GRE_1934	chivalrous	adj. 有武士风度的，侠义的	a. 骑士的, 勇敢的	'ʃivәlrәs
GRE_28	choppy	adj. （海等）波浪起伏的, (指风)不断改变方向的	a. 猛地一动一停的, 突变的 / [经] 震荡的	'tʃɒpi
GRE_9573	chronological	adj. 按年代顺序排列的	a. 年代学的, 按时间顺序的, 按照年月顺序的 / [计] 编年的, 按年月日顺序的	, krɔnә'lɔdʒikәl
GRE_2863	chuckle	n. 吃吃的笑声	n. 咯咯的笑声, 轻笑 / vi. 咯咯的笑, 咕咕叫	'tʃʌkl
GRE_2988	chump	n. 大木片, 大肉片, 木人	n. 大木块, (羊)腰臀部的肉, 傻瓜	tʃʌmp
GRE_1948	circuitous	adj. 迂回线路的	a. 迂回的, 间接的, 绕行的	sә'kju:itәs
GRE_5045	circumlocution	n. 婉转曲折的陈述	n. 迂回的说法	.sә:kәmlә'kju:ʃәn
