id	word	definition_cn	ecdict_translation	ecdict_phonetic
CET4_CORE_1546	bristle	n. 短而硬的毛；鬃毛	n. 刚毛, 猪鬃 / vi. 直立, 发怒, 充满 / vt. 使直立	'brisl
CET4_CORE_1548	British	adj. 不列颠的，英联邦的	a. 英国的 / n. 英国人, 英国英语	'britiʃ
CET4_CORE_108	broad	adj. 宽的	a. 宽广的, 辽阔的, 广大的, 显著的 / adv. 宽阔地 / n. 宽阔部分	brɒ:d
CET4_CORE_1551	broken	adj. 被打碎的，骨折的	a. 坏掉的, 打破的, 断掉的 / break的过去分词	'brәukәn
CET4_CORE_1553	brood	n. 同窝幼鸟； v. 孵(蛋)	n. 一窝, 一伙 / vt. 孵, 沉思	bru:d
CET4_CORE_1554	brook	n. 小河，溪流	n. 小溪 / vt. 容忍	bruk
CET4_CORE_1568	bulk	n. 物体，容积，大批	n. 大小, 体积, 大块, 大多数 / vt. 显得大, 显得重要	bʌlk
CET4_CORE_1571	bunch	n. 束，球，串；一群	n. 串, 束 / [医] 骨肿块(马)	bʌntʃ
CET4_CORE_1572	bundle	n. 捆，包，束；包袱	n. 捆, 束 / vt. 包扎, 胡乱塞进 / vi. 匆忙离开	'bʌndl
CET4_CORE_111	bureau	n. 局	n. 局, 办公处 / [经] 局, 司, 处	'bjuәrәu
CET4_CORE_1579	busy	adj. 忙的，繁忙的	a. 忙碌的, 热闹的, 没空的 / vt. 使忙 / vi. 忙碌 / [计] 忙; 忙碌	'bizi
CET4_CORE_1586	by	prep. 在…旁；被，由	prep. 被, 经, 由, 在...之旁 / adv. 经过, 在近处	bai
CET4_CORE_1592	cafeteria	n. 自助食堂	n. 自助餐厅 / [经] 自助餐厅	.kæfi'tiәriә
CET4_CORE_1593	cage	n. 笼；鸟笼，囚笼	n. 笼, 牢房, 战俘营 / vt. 关进笼内	keidʒ
CET4_CORE_1598	call	v. 把…叫做；叫，喊	n. 呼叫, 访问, 打电话, 号召, 召集, 要求 / vt. 呼叫, 召集, 打电话 / vi. 叫喊, 访问, 叫牌 / [计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件	kɒ:l
CET4_CORE_1602	camp	n. 野营，营地，兵营	n. 露营, 帐篷 / vi. 露营, 扎营 / vt. 使扎营	kæmp
CET4_CORE_113	campaign	n. 活动	n. 战役, 运动, 竞选运动 / vi. 参加运动, 作战	kæm'pein
CET4_CORE_116	canteen	n. 食堂	n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部	kæn'ti:n
CET4_CORE_1617	captain	n. 陆军上尉；队长	n. 船长, 指挥官, 海军上校, 首领 / vt. 率领, 指挥	'kæptin
CET4_CORE_1621	carbon	n. 碳	n. 碳, 副本, 复写纸 / [化] 碳	'kɑ:bәn
CET4_CORE_1625	careful	adj. 仔细的；细致的	a. 小心的, 谨慎的	'kєәful
CET4_CORE_1629	carrier	n. 运输工具；运载工具	n. 运送者, 邮递员, 带菌者 / [计] 载波	'kæriә
CET4_CORE_1630	carrot	n. 胡罗卜	n. 胡萝卜 / [医] 胡萝卜	'kærәt
CET4_CORE_1636	cassette	n. 盒式录音带；盒子	n. 盒式磁带, 珠宝箱, 暗盒 / [计] 字盒	kæ'set
CET4_CORE_1639	cat	n. 猫，猫科，猫皮	n. 猫, 恶妇 / vi. 呕吐 / 计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版 / [计] 计算机辅助教学, 计算机辅助翻译, 计算机辅助排字, 计算机辅助测试	kæt
CET4_CORE_1645	cave	n. 山洞，洞穴，窑洞	n. 洞, 穴 / vi. 凹陷, 塌落 / vt. 挖洞, 使凹陷, 损坏...的基础	keiv
CET4_CORE_1658	certain	adj. 确实的；肯定的	a. 确定的, 某一个的, 必然的 / [法] 确凿的, 无疑的, 可靠的	'sә:tәn
CET4_CORE_1659	certainly	adv. 一定，必定；当然	adv. 确定地	'sә:tәnli
CET4_CORE_1662	chain	n. 链，链条，项圈	n. 链, 枷锁, 束缚 / vt. 用铁练锁住, 束缚, 囚禁	tʃein
CET4_CORE_1671	chapter	n. 章，回，篇	n. 章, 篇, 重要章节 / [计] 章; 段	'tʃæptә
CET4_CORE_127	character	n. 角色	n. 个性, 字符, 人物, 性质, 品格, 资格 / [计] 字符	'kærәktә
CET4_CORE_846	characteristic	n. 特点	n. 特性, 特征, 特色 / a. 特性的, 特有的, 有特色的 / [计] 阶; 指数	.kærәktә'ristik
CET4_CORE_128	characterize	v. 以……特点	vt. 描绘...的特性, 刻划...的性格	'kærәktәraiz
CET4_CORE_1676	cheap	adj. 廉价的；劣质的	a. 便宜的, 不值钱的, 可鄙的 / adv. 便宜地	tʃi:p
CET4_CORE_130	cheek	n. 脸颊	n. 颊, 厚颜, 脸蛋 / [医] 颊	tʃi:k
CET4_CORE_1679	cheerful	adj. 快乐的，愉快的	a. 快活的, 高兴的, 兴高采烈的	'tʃiәful
CET4_CORE_1691	childhood	n. 童年，幼年；早期	n. 孩童时期 / [医] 儿童期	'tʃaildhud
CET4_CORE_1692	childish	adj. 孩子的；幼稚的	a. 天真的, 孩子气的	'tʃaildiʃ
CET4_CORE_1701	chop	v. 砍，劈；切细； v. 砍	n. 肋条肉, 排骨, 砍, 戳记, 商标 / vt. 剁碎, 砍, 切击, 割断 / vi. 砍, 突然转向	tʃɒp
CET4_CORE_1702	Christian	n. 基督教徒；信徒	n. 基督徒, 正派人 / a. 基督的, 基督教的	'kristʃәn
CET4_CORE_1723	claw	n. 爪，脚爪，螯	n. 爪, 螯, 抓伤 / v. 用爪抓, 挖, 搜刮	klɒ:
CET4_CORE_1725	clean	adj. 清洁的；纯洁的	a. 干净的, 清白的, 简洁的 / adv. 清洁地, 完全地 / vt. 清理, 使干净, 出空 / vi. 被搞干净 / n. 打扫	kli:n
CET4_CORE_1727	clearly	adv. 明白地，清晰地	adv. 清楚地	'kliәli
CET4_CORE_4192	click	v. 发出咔嗒声；点击； n. 咔嗒声	n. 咔哒声, 啪嗒声 / vi. 作咔哒声 / vt. 使发咔哒声 / [计] 单击	klik
CET4_CORE_1733	cloak	n. 斗篷；覆盖(物)	n. 斗蓬, 大氅, 掩护 / vt. 遮掩, 隐匿, 使披斗蓬	klәuk
CET4_CORE_1734	clock	n. 钟，仪表	n. 时钟, 计时器, (袜子上的)绣花边花 / vt. 绣花样, 记时, 记录 / vi. 记录时间 / [计] 时钟	klɒk
CET4_CORE_1737	cloth	n. 布；衣料；桌布	n. 布料, 织品, 布 / [建] 布	klɒ:θ. klɒθ
CET4_CORE_1741	cloud	n. 云；云状物；阴影	n. 云, 阴暗, 烟雾, 疑团 / vt. 以云遮敝, 笼罩, 使黯然 / vi. 乌云密布, 阴沉	klaud
CET4_CORE_1744	coal	n. 煤，煤块	n. 煤, 木炭 / v. 加煤	kәul
CET4_CORE_1762	comb	n. 梳子； v. 梳理	n. 头梳, 鸡冠 / vt. 梳头发, 梳毛 / vi. (浪)涌起	kәum
CET4_CORE_1765	comfortable	adj. 舒适的，安慰的	a. 舒服的, 轻松的 / n. 盖被	'kʌmfәtәbl
CET4_CORE_150	commitment	n. 承诺，保证	n. 委托, 交押, 承担义务, 赞助 / [医] 院禁	kә'mitmәnt
CET4_CORE_1778	companion	n. 同伴；共事者；伴侣	n. 朋友, 陪伴, 指南, 升降口围罩 / vt. 陪伴	kәm'pænjәn
CET4_CORE_1786	complicate	v. 使复杂；使陷入	vt. 弄复杂, 使错综, 使恶化 / vi. 变复杂	'kɒmplikeit
CET4_CORE_164	comply	v. 遵从	vi. 顺从, 依从 / [法] 遵守, 承诺, 照做	kәm'plai
CET4_CORE_1788	composition	n. 构成；作品；写作	n. 作文, 创作, 组成 / [化] 成分; 组成	kɒmpә'ziʃәn
CET4_CORE_168	concern	v & n. 涉及，关系到	n. 关心, 忧虑 / vt. 与...有关, 使担心, 使挂念	kәn'sә:n
CET4_CORE_1804	condition	n. 状况，状态；环境	n. 情况, 条件 / vt. 使健康, 以...为条件, 决定, 使适应 / [计] 条件	kәn'diʃәn
CET4_CORE_1809	confident	adj. 确信的，自信的	a. 有信心的, 有把握的	'kɒnfidәnt
CET4_CORE_175	connectivity	n. 连接，联系	[计] 连通性, 连通度	kәnek'tiviti
CET4_CORE_4432	connexion	n. connection的英式拼法	n. 连接, 团体, 生意合伙人, 亲戚	kә'nekʃәn
CET4_CORE_1820	conscious	adj. 意识到的；有意的	a. 有意识的, 知觉的, 觉察的 / [医] 有意识的, 清醒的	'kɒnʃәs
CET4_CORE_926	consequently	adv. 结果	adv. 所以	'kɒnsikwәntli
CET4_CORE_181	considerable	adj. 相当大(或多)的	a. 相当的, 可观的, 重要的	kәn'sidәrәbl
CET4_CORE_186	conspicuous	adj. 显著地	a. 显著的, 显眼的, 出众的	kәn'spikjuәs
CET4_CORE_187	constant	adj. 不断的，持续的	n. 常数, 恒量 / a. 不变的, 一定的, 时常的 / [计] 常量; 常数; 恒值	'kɒnstәnt
CET4_CORE_191	consult	v. 咨询	vi. 商讨, 商量, 协商, 会诊 / vt. 向...请教, 查阅, 考虑	kәn'sʌlt
CET4_CORE_195	contemporary	adj. 当代的，现代的	n. 同时代的人 / a. 同时代的, 属于同一时期的	kәn'tempәrәri
CET4_CORE_1033	contest	n. 比赛	n. 竞赛, 争论 / vt. 竞争, 争取, 争辩 / vi. 竞争	'kɒntest
CET4_CORE_198	contract	n. 合同	n. 合约, 婚约, 契约 / vt. 使皱缩, 使缩短, 感染, 订约, 缔结 / vi. 皱缩, 订约, 收缩	'kɒntrækt
CET4_CORE_200	contribute	v. 捐款，贡献	vt. 有助于, 捐助, 投稿 / vi. 出力, 捐献, 投稿	kәn'tribju:t
CET4_CORE_1060	convincing	adj. 令人信服的	a. 使人信服的, 有力的, 令人心悦诚服的	kәn'vinsiŋ
CET4_CORE_4219	cop	n. 警察	n. 警官 / vt. 抓住	kɒp
CET4_CORE_1846	copper	n. 铜；铜币，铜制器	n. 铜, 警察 / [化] 铜Cu	'kɒpә
CET4_CORE_1848	cord	n. 细绳，粗线，索	n. 绳索, 束缚 / [医] 索, 带	kɒ:d
CET4_CORE_1851	corn	n. 谷物；(英)小麦	n. 玉蜀黍, 谷类, 谷粒, 鸡眼 / vt. 使成颗粒, 腌	kɒ:n
CET4_CORE_1852	corner	n. 角；犄角；边远地区	n. 角落, 转角, 窘境 / vt. 迫至一隅, 垄断, 使陷入绝境 / vi. 相交成角, 垄断 / [计] 边角	'kɒ:nә
CET4_CORE_1858	corresponding	adj. 相应的；符合的	a. 相当的, 一致的, 通信的 / [计] 对应	.kɒri'spɒndiŋ
CET4_CORE_1863	cotton	n. 棉；棉线；棉布	n. 棉花 / vi. 和谐, 有好感, 理解	'kɒtn
CET4_CORE_1865	could	aux. v(can的过去式)	aux. 可以, 能	kud
CET4_CORE_1025	council	n. 议会	n. 会议, 委员会 / [经] 委员会	'kaunsәl
CET4_CORE_1870	county	n. 英国的郡，美国的县	n. 县, 郡	'kaunti
CET4_CORE_208	couple	n. 夫妻，情侣	n. 对, 夫妇, 数个 / vt. 使成双, 连接, 使成婚, 把...联系起来 / vi. 结合, 成婚	'kʌpl
CET4_CORE_209	courageous	adj. 有勇气的	a. 勇敢的, 大胆的, 有胆量的	kә'reidʒәs
CET4_CORE_1877	coward	n. 懦夫；胆怯者	n. 懦弱的人, 胆小的人	'kauәd
CET4_CORE_1882	crazy	adj. 疯狂的，荒唐的	a. 发狂的, 狂热的	'kreizi
CET4_CORE_1888	creep	v. 爬行；缓慢地行进	n. 爬, 徐行, 蠕动 / vi. 爬, 蔓延, 潜行	kri:p
CET4_CORE_1889	crew	n. 全体船员	n. 全体人员, 一群人, 全体队员 / crow的过去式	kru:
CET4_CORE_218	curb	v & n. 控制	n. 抑制, 勒马绳, 边石 / vt. 抑制, 束缚, 勒住	kә:b
CET4_CORE_1913	curl	n. 卷毛；螺旋； v. 卷曲	n. 拳曲, 鬈发 / vt. 弄卷 / vi. 拳曲, 弯曲	kә:l
CET4_CORE_1923	dairy	n. 牛奶场；乳制品	n. 牛奶公司, 乳品店, 乳牛场	'dєәri
CET4_CORE_1154	dampen	v. 抑制	vt. 弄湿, 使沮丧 / vi. 变湿, 丧气	'dæmpәn
CET4_CORE_1930	dare	vt&aux. v敢；竟敢	n. 挑战, 挑动, 大胆 / v. 敢, 胆敢	dєә
CET4_CORE_1949	decay	v. 腐烂；衰败； n. 腐烂	n. 衰退, 腐败 / v. (使)衰退, (使)腐败	di'kei
CET4_CORE_224	decent	adj. 正派的，体面的	a. 有分寸的, 得体的, 大方的	'di:sәnt
CET4_CORE_1965	defend	v. 保卫，防守	vt. 防护, 辩护, 防卫 / [法] 作...的辩护律师, 辩护, 为...答辩	di'fend
CET4_CORE_1967	definitely	adv. 一定地，明确地	adv. 明确无疑地, 清楚地	'definitli
CET4_CORE_229	delay	v. 推迟，延期	n. 耽搁, 迟滞 / v. 耽搁, 延迟 / [计] 延迟, 延时	di'lei
CET4_CORE_1970	delicate	adj. 纤细的；易碎的	a. 细致优雅的, 微妙的, 美味的 / [医] 柔弱的	'delikәt
CET4_CORE_231	delightful	adj. 高兴的	a. 令人愉快的, 可爱的	di'laitful
CET4_CORE_1978	depend	v. 依靠，依赖；相信	vi. 靠, 视...而定, 信赖	di'pend
CET4_CORE_239	depressing	adj. 令人沮丧的	a. 抑压的, 沉闷的, 阴沉的	di'presiŋ
CET4_CORE_241	derive	v. 得到，导出	vt. 得自 / vi. 起源	di'raiv
CET4_CORE_1093	desert	v. 抛弃	n. 沙漠, 应得的赏罚, 功劳 / a. 沙漠的, 不毛的 / vt. 放弃, 遗弃, 擅离 / vi. 逃掉	'dezәt. di'sә:t
CET4_CORE_1991	despise	v. 鄙视，蔑视	vt. 轻视	di'spaiz
CET4_CORE_244	despite	prep. 不管	n. 轻视, 憎恨 / prep. 虽然, 尽管	di'spait
CET4_CORE_248	detect	v. 觉察;检测	vt. 发现, 察觉, 探测 / [法] 发现, 查明, 探测	di'tekt
CET4_CORE_252	determination	n. 意志	n. 决心, 果断 / [化] 判定; 测定	di.tә:mi'neiʃәn
CET4_CORE_254	devote	v. 奉献，致力于	vt. 投入于, 献身	di'vәut
CET4_CORE_2010	difference	n. 差别；差；分歧	n. 不同, 差异 / [计] 差分	'difәrәns
CET4_CORE_2011	different	adj. 差异的；各种的	a. 不同的 / [机] 差动, 微分的, 差速器	'difәrәnt
CET4_CORE_2014	dig	v. 掘，挖；采掘	vt. 挖, 翻土, 发掘 / vi. 挖掘 / n. 挖掘 / [计] 数字, 数位	dig
CET4_CORE_256	diligent	adj. 勤奋的	a. 勤勉的, 用功的	'dilidʒәnt
CET4_CORE_2017	dim	adj. 昏暗的；朦胧的	a. 暗淡的, 模糊的 / vt. 使暗淡 / [计] 数据解释模块	dim
CET4_CORE_2020	dip	v. 浸，蘸； v. 浸一浸	v. 浸, 降下, 把(手、勺等)伸入, 舀取 / n. 浸, 涉猎 / [计] 双列直插式组件, 分布式输入输出系统, 双排直插封装	dip
CET4_CORE_2027	disable	v. 使无能，使伤残	vt. 使失去能力, 使残废, (律)使无资格 / [计] 使无效, 禁止, 关闭	dis'eibl
CET4_CORE_1020	disappointing	adj. 令人失望的	a. 使失望的, 期待落空的, 令人沮丧的	.disә'pɒintiŋ
CET4_CORE_995	discrimination	n. 歧视	n. 差别, 岐视, 辨别力 / [化] 鉴别	dis.krimi'neiʃәn
CET4_CORE_2043	dislike	vt&n. 不喜爱，厌恶	n. 嫌恶 / vt. 讨厌, 不喜欢	dis'laik
CET4_CORE_2044	dismiss	v. 不再考虑；解雇	vt. 解散, 开除, 解职 / vi. 解散 / [计] 解散	dis'mis
CET4_CORE_264	display	n & v. 展览	n. 显示, 陈列, 炫耀, 显示器 / vt. 陈列, 显示, 表现, 夸示 / [计] 显示器; 显示	dis'plei
CET4_CORE_2048	dispose	v. 去掉，丢掉；销毁	vt. 处理, 排列, 布置 / vi. 处置	dis'pәuz
CET4_CORE_266	dissatisfy	v. 不满意	vt. 使感觉不满, 不满足	dis'sætisfai
CET4_CORE_1116	distinct	adj. 明显的；有区别的	a. 清楚的, 显著的, 不同的	dis'tiŋkt
CET4_CORE_2050	distinction	n. 差别，不同，区分	n. 区别	dis'tiŋkʃәn
CET4_CORE_952	distinctive	adj. 独特的，与众不同的	a. 有特色的, 出众的	di'stiŋktiv
CET4_CORE_270	distinguished	adj. 显著的，杰出的	a. 卓著的, 著名的	dis'tiŋgwiʃt
CET4_CORE_272	distracted	adj. 分心的	a. 心烦意乱的	dis'træktid
CET4_CORE_275	district	n. 区	n. 区域, 地方 / [医] 地区, 地段	'distrikt
CET4_CORE_276	diverse	adj. 各种各样的	a. 不同的, 变化多的	dai'vә:s
CET4_CORE_2056	do	aux. v； v. 做，干，办	v. 做, 进行, 完成	du:
CET4_CORE_2059	dog	n. 狗，犬，犬科动物	n. 狗, 坏蛋 / vt. 跟踪, 尾随	dɒg
CET4_CORE_282	domination	n. 主导	n. 支配, 控制, 管辖	.dɒmi'neiʃәn
CET4_CORE_286	downfall	n. （雨等的）大下特下	n. 衰败, 大雨	'daunfɒ:l
CET4_CORE_287	download	v. 下载	[计] 卸载, 下栽	
CET4_CORE_1061	downsize	v. 裁员	vt. 以较小尺寸设计；缩小尺寸；裁减人数	daun'saiz
CET4_CORE_2075	drag	v. 拖，拉；拖曳	n. 拖, 拖累 / v. 拖累, 拖拉, 沉重缓慢地走, 拖动 / [计] 拖动	dræg
