id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
JUNIOR_CORE_2944	can't help doing sth.	n. 忍不住做某事	/can't help doing sth./	/can't help doing sth./			
JUNIOR_CORE_2857	centre (AmE center)	n. 中心	/centre (AmE center)/	/centre (AmE center)/			
JUNIOR_CORE_2525	Charles  Dickens	n. 查尔斯 • 狄更斯（英国作家）	/Charles  Dickens/	/Charles  Dickens/			
JUNIOR_CORE_2875	cheer ⋯ on	n. 用欢呼声激励；为⋯⋯加油	/cheer ⋯ on/	/cheer ⋯ on/			
JUNIOR_CORE_2588	Chelsea Lanmon	n. 切尔西 • 兰曼	/Chelsea Lanmon/	/Chelsea Lanmon/			
JUNIOR_CORE_2645	Colombia  VmbI	n. 哥伦比亚（南美洲国家）	/Colombia  VmbI/	/Colombia  VmbI/			
JUNIOR_CORE_2731	colour (AmE color)	n. 颜色	/colour (AmE color)/	/colour (AmE color)/			
JUNIOR_CORE_2250	comedy.	n. 喜剧	/'kɒmɪdɪ/	/'kɑmədi/			
JUNIOR_CORE_3054	compare ⋯ to	n. 把⋯⋯比作	/compare ⋯ to/	/compare ⋯ to/			
JUNIOR_CORE_3014	compare ⋯ with ⋯	n. 比较⋯⋯与⋯⋯	/compare ⋯ with ⋯/	/compare ⋯ with ⋯/			
JUNIOR_CORE_2391	compare…with	n. 比较，对比	/compare…with/	/compare…with/			
JUNIOR_CORE_2501	connect … with	n. 把...和...连接或联系起来	/connect … with/	/connect … with/			
JUNIOR_CORE_3066	cut sth. off sth.	n. 把某物从某物上剪掉	/cut sth. off sth./	/cut sth. off sth./			
JUNIOR_CORE_2582	divide ... into	n. 把...分开	/divide ... into/	/divide ... into/			
JUNIOR_CORE_2077	do (one’s) homework	n. 做作业	/do (one’s) homework/	/do (one’s) homework/			
JUNIOR_CORE_2115	drink  tea	n. 喝茶	/drink  tea/	/drink  tea/			
JUNIOR_CORE_2080	Either…or ……	n. 要么……要么……；或者……或者……	/Either…or ……/	/Either…or ……/			
JUNIOR_CORE_2139	enjoy reading	n. 喜欢阅读	/enjoy reading/	/enjoy reading/			
JUNIOR_CORE_2732	favourite (AmE favorite)	adj. 最喜爱的	/favourite (AmE favorite)/	/favourite (AmE favorite)/			
JUNIOR_CORE_2166	feed chickens	n. 喂鸡	/feed chickens/	/feed chickens/			
JUNIOR_CORE_2192	feel like(doing sth.)	n. 想要	/feel like(doing sth.)/	/feel like(doing sth.)/			
JUNIOR_CORE_2048	first.	num. 第一	/fɜːst/	/fɝst/			
JUNIOR_CORE_2098	follow the rules	n. 遵守规则	/follow the rules/	/follow the rules/			
JUNIOR_CORE_2054	from... to...	n. 从......到......	/from... to.../	/from... to.../			
JUNIOR_CORE_2594	George   Crum	n. 乔治 • 克拉姆	/George   Crum/	/George   Crum/			
JUNIOR_CORE_2186	get a surprise	n. 吃惊	/get a surprise/	/get a surprise/			
JUNIOR_CORE_3017	get into the habit of ⋯	n. 养成⋯⋯的习惯	/get into the habit of ⋯/	/get into the habit of ⋯/			
